iter	Passed	Remaining
586	4800	3377
587	4809	3369
588	4817	3361
589	4828	3355
590	4837	3347
591	4849	3341
592	4861	3336
593	4872	3330
594	4882	3323
595	4894	3318
596	4904	3310
597	4913	3303
598	4923	3296
599	4931	3287
600	4940	3279
601	4947	3271
602	4956	3263
603	4964	3255
604	4974	3247
605	4982	3239
606	4990	3230
607	4998	3222
608	5006	3214
609	5014	3206
610	5021	3197
611	5029	3188
612	5037	3180
613	5047	3172
614	5054	3164
615	5061	3154
616	5068	3146
617	5075	3137
618	5083	3128
619	5089	3119
620	5096	3110
621	5103	3101
622	5109	3092
623	5116	3083
624	5124	3074
625	5132	3066
626	5139	3057
627	5146	3048
628	5154	3040
629	5161	3031
630	5169	3022
631	5175	3013
632	5184	3005
633	5191	2996
634	5199	2988
635	5206	2979
636	5213	2971
637	5220	2962
638	5229	2954
639	5237	2946
640	5248	2939
641	5255	2930
642	5263	2922
643	5270	2913
644	5278	2905
645	5285	2896
646	5293	2888
647	5300	2879
648	5308	2871
649	5315	2862
650	5321	2853
651	5328	2844
652	5335	2835
653	5343	2826
654	5350	2818
655	5357	2809
656	5364	2800
657	5371	2792
658	5378	2783
659	5385	2774
660	5393	2766
661	5400	2757
662	5407	2748
663	5414	2739
664	5420	2730
665	5427	2721
666	5433	2712
667	5440	2704
668	5447	2695
669	5454	2686
670	5460	2677
671	5466	2668
672	5473	2659
673	5480	2650
674	5486	2641
675	5492	2632
676	5499	2623
677	5506	2614
678	5512	2606
679	5520	2597
680	5526	2588
681	5533	2579
682	5540	2571
683	5547	2562
684	5555	2554
685	5562	2546
686	5570	2538
687	5577	2529
688	5584	2520
689	5591	2512
690	5599	2503
691	5606	2495
692	5613	2486
693	5620	2478
694	5627	2469
695	5635	2461
696	5641	2452
697	5647	2443
698	5654	2434
699	5660	2425
700	5667	2417
701	5673	2408
702	5679	2399
703	5686	2390
704	5693	2382
705	5700	2373
706	5706	2364
707	5712	2356
708	5719	2347
709	5726	2339
710	5733	2330
711	5739	2321
712	5745	2312
713	5752	2304
714	5758	2295
715	5765	2286
716	5771	2278
717	5778	2269
718	5785	2261
719	5792	2252
720	5799	2244
721	5805	2235
722	5812	2226
723	5818	2218
724	5825	2209
725	5832	2201
726	5839	2192
727	5846	2184
728	5853	2175
729	5860	2167
730	5867	2159
731	5875	2151
732	5882	2142
733	5889	2134
734	5897	2126
735	5903	2117
736	5911	2109
737	5917	2100
738	5924	2092
739	5931	2083
740	5937	2075
741	5945	2067
742	5951	2058
743	5958	2050
744	5965	2041
745	5972	2033
746	5980	2025
747	5988	2017
748	5995	2009
749	6003	2001
750	6012	1993
751	6018	1984
752	6026	1976
753	6033	1968
754	6040	1960
755	6046	1951
756	6053	1943
757	6060	1934
758	6067	1926
759	6075	1918
760	6083	1910
761	6091	1902
762	6098	1894
763	6105	1885
764	6112	1877
765	6119	1869
766	6126	1861
767	6132	1852
768	6139	1844
769	6146	1835
770	6152	1827
771	6159	1819
772	6165	1810
773	6173	1802
774	6179	1794
775	6187	1785
776	6193	1777
777	6199	1769
778	6207	1760
779	6213	1752
780	6220	1744
781	6226	1735
782	6232	1727
783	6239	1718
784	6245	1710
785	6251	1702
786	6258	1693
787	6264	1685
788	6271	1677
789	6278	1668
790	6285	1660
791	6292	1652
792	6299	1644
793	6306	1636
794	6316	1628
795	6323	1620
796	6330	1612
797	6337	1604
798	6343	1595
799	6350	1587
800	6356	1579
801	6363	1571
802	6370	1562
803	6376	1554
804	6384	1546
805	6391	1538
806	6397	1530
807	6404	1521
808	6411	1513
809	6418	1505
810	6424	1497
811	6431	1489
812	6437	1480
813	6444	1472
814	6451	1464
815	6457	1456
816	6464	1447
817	6471	1439
818	6478	1431
819	6485	1423
820	6492	1415
821	6499	1407
822	6506	1399
823	6514	1391
824	6520	1383
825	6527	1375
826	6533	1366
827	6540	1358
828	6546	1350
829	6553	1342
830	6559	1334
831	6566	1325
832	6573	1317
833	6579	1309
834	6586	1301
835	6593	1293
836	6600	1285
837	6607	1277
838	6614	1269
839	6620	1260
840	6626	1252
841	6633	1244
842	6639	1236
843	6645	1228
844	6652	1220
845	6658	1212
846	6665	1204
847	6673	1196
848	6679	1188
849	6686	1180
850	6693	1172
851	6700	1163
852	6707	1155
853	6714	1147
854	6720	1139
855	6727	1131
856	6733	1123
857	6740	1115
858	6746	1107
859	6753	1099
860	6759	1091
861	6766	1083
862	6773	1075
863	6780	1067
864	6789	1059
865	6797	1051
866	6806	1044
867	6812	1036
868	6819	1028
869	6825	1019
870	6831	1011
871	6838	1003
872	6844	995
873	6851	987
874	6858	979
875	6864	971
876	6871	963
877	6878	955
878	6885	947
879	6892	939
880	6899	931
881	6906	923
882	6913	916
883	6920	908
884	6926	900
885	6933	892
886	6939	884
887	6945	876
888	6952	868
889	6959	860
890	6967	852
891	6975	844
892	6984	836
893	6993	829
894	7000	821
895	7006	813
896	7013	805
897	7020	797
898	7026	789
899	7033	781
900	7040	773
901	7047	765
902	7053	757
903	7059	749
904	7067	741
905	7073	733
906	7079	725
907	7086	718
908	7092	710
909	7099	702
910	7105	694
911	7112	686
912	7118	678
913	7124	670
914	7131	662
915	7137	654
916	7144	646
917	7151	638
918	7158	630
919	7166	623
920	7173	615
921	7180	607
922	7187	599
923	7194	591
924	7200	583
925	7206	575
926	7214	568
927	7220	560
928	7227	552
929	7233	544
930	7240	536
931	7246	528
932	7252	520
933	7259	512
934	7265	505
935	7272	497
936	7279	489
937	7285	481
938	7292	473
939	7298	465
940	7304	458
941	7311	450
942	7317	442
943	7324	434
944	7330	426
945	7336	418
946	7343	411
947	7350	403
948	7357	395
949	7363	387
950	7369	379
951	7376	371
952	7382	364
953	7388	356
954	7395	348
955	7402	340
956	7409	332
957	7415	325
958	7422	317
959	7428	309
960	7434	301
961	7441	293
962	7448	286
963	7455	278
964	7461	270
965	7468	262
966	7475	255
967	7481	247
968	7487	239
969	7494	231
970	7500	224
971	7507	216
972	7513	208
973	7521	200
974	7528	193
975	7534	185
976	7541	177
977	7548	169
978	7555	162
979	7561	154
980	7568	146
981	7575	138
982	7581	131
983	7587	123
984	7594	115
985	7601	107
986	7607	100
987	7613	92
988	7620	84
989	7626	77
990	7633	69
991	7639	61
992	7645	53
993	7652	46
994	7658	38
995	7665	30
996	7671	23
997	7678	15
998	7684	7
999	7691	0
