d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36,y
1,0.010689,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.003450
0,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.003450
2,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,0.006750
1,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.006750
0,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.006750
2,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.007400
1,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.007400
0,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.007400
2,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.012550
1,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.012550
0,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.012550
2,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.003550
1,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.000740,0.003550
0,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.000740,0.000000,0.003550
2,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.000740,0.000000,0.000001,0.013350
1,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.000740,0.000000,0.000001,0.000000,0.013350
0,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.000740,0.000000,0.000001,0.000000,0.001122,0.013350
2,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.000740,0.000000,0.000001,0.000000,0.001122,0.002173,0.035550
1,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.000740,0.000000,0.000001,0.000000,0.001122,0.002173,0.003032,0.035550
0,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.001741,0.000274,0.000377,-0.000563,0.001114,0.002219,0.000381,0.001627,0.000545,0.000372,0.002303,0.000548,0.000740,0.000000,0.000001,0.000000,0.001122,0.002173,0.003032,0.002110,0.035550
2,0.000000,0.000000,-0.000543,-0.000222,0.000150,-0.002073,-0.002053,0.002108,-0.001953,-0.001551,-0.003289,-0.027421,-0.012283,-0.016735,0.000060,-0.013959,0.002509,0.013330,-0.006851,-0.000660,0.000871,-0.007441,0.011579,-0.015021,0.028995,-0.019691,0.017941,-0.005572,0.005466,0.019009,0.008289,0.002337,0.000188,-0.001353,0.000431,0.000668,0.000331,-0.001350
1,0.000000,-0.000543,-0.000222,0.000150,-0.002073,-0.002053,0.002108,-0.001953,-0.001551,-0.003289,-0.027421,-0.012283,-0.016735,0.000060,-0.013959,0.002509,0.013330,-0.006851,-0.000660,0.000871,-0.007441,0.011579,-0.015021,0.028995,-0.019691,0.017941,-0.005572,0.005466,0.019009,0.008289,0.002337,0.000188,-0.001353,0.000431,0.000668,0.000331,-0.000450,-0.001350
0,-0.000543,-0.000222,0.000150,-0.002073,-0.002053,0.002108,-0.001953,-0.001551,-0.003289,-0.027421,-0.012283,-0.016735,0.000060,-0.013959,0.002509,0.013330,-0.006851,-0.000660,0.000871,-0.007441,0.011579,-0.015021,0.028995,-0.019691,0.017941,-0.005572,0.005466,0.019009,0.008289,0.002337,0.000188,-0.001353,0.000431,0.000668,0.000331,-0.000450,0.000333,-0.001350
2,-0.000222,0.000150,-0.002073,-0.002053,0.002108,-0.001953,-0.001551,-0.003289,-0.027421,-0.012283,-0.016735,0.000060,-0.013959,0.002509,0.013330,-0.006851,-0.000660,0.000871,-0.007441,0.011579,-0.015021,0.028995,-0.019691,0.017941,-0.005572,0.005466,0.019009,0.008289,0.002337,0.000188,-0.001353,0.000431,0.000668,0.000331,-0.000450,0.000333,0.000041,0.003500
1,0.000150,-0.002073,-0.002053,0.002108,-0.001953,-0.001551,-0.003289,-0.027421,-0.012283,-0.016735,0.000060,-0.013959,0.002509,0.013330,-0.006851,-0.000660,0.000871,-0.007441,0.011579,-0.015021,0.028995,-0.019691,0.017941,-0.005572,0.005466,0.019009,0.008289,0.002337,0.000188,-0.001353,0.000431,0.000668,0.000331,-0.000450,0.000333,0.000041,-0.000028,0.003500
