d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
0,0.000000,0.002537,-0.013317,0.002381,0.011445,-0.002876,-0.006688,0.021561,-0.017714,-0.004643,-0.018287,0.003572,-0.011115,-0.015072,0.031036,-0.011094,0.017820,-0.027076,0.029427,0.014380,0.011712,0.012590,0.000020,0.100027,0.060392,0.000571,-0.005602,-0.034093,-0.019765,-0.014122,-0.012694,0.000478,-0.006035,-0.003657,0.001608,-0.011213,-0.000177
0,0.000000,0.004302,0.000271,-0.022062,0.015781,-0.026893,0.007308,0.014286,0.017117,-0.001213,0.010437,0.004619,-0.012914,0.012034,-0.005930,0.006470,0.012183,-0.017659,0.007790,0.024546,-0.010198,0.015736,0.000623,0.052525,0.061066,0.012987,0.002988,-0.041435,-0.004908,-0.013518,-0.015834,-0.001640,-0.003045,-0.010862,-0.001302,-0.001128,-0.000095
0,0.000000,-0.006224,0.002548,-0.005915,0.003715,0.001026,0.005666,0.006886,-0.005797,0.012724,-0.005582,0.008659,-0.010265,-0.000354,-0.003135,0.010330,0.000295,-0.016282,0.017119,0.008877,0.015810,0.013518,0.004533,0.072332,0.038673,-0.004314,0.009562,-0.024322,-0.022262,-0.014806,-0.006723,-0.009163,0.003683,-0.003489,0.005523,-0.008034,-0.000284
0,0.000000,0.005111,0.001423,-0.000054,0.015687,-0.006670,0.005723,0.013624,-0.005283,0.004390,-0.003974,0.003689,-0.000414,0.002961,0.009770,0.000016,0.015200,-0.024898,0.011595,0.023690,0.002885,0.007603,0.000684,0.049056,0.050375,0.009466,-0.002932,-0.023723,-0.014709,-0.013694,-0.011857,-0.001658,-0.002112,-0.015670,0.000986,0.003358,-0.006034
0,0.000000,-0.008508,-0.000723,-0.005424,0.005823,-0.008021,0.005122,0.001991,-0.020004,0.004228,-0.003603,0.003498,-0.008818,0.001691,-0.011589,0.022011,-0.000675,-0.017021,0.020911,0.002044,0.020242,0.007529,0.004657,0.085251,0.061031,-0.004316,0.004447,-0.030608,-0.014492,-0.003509,-0.003277,-0.008485,0.001063,-0.001099,0.004057,-0.008197,-0.000517
0,0.000000,-0.012855,-0.010957,0.006963,0.001988,0.007595,0.020985,0.008409,0.003804,-0.002694,0.000224,0.011717,0.027303,0.016836,-0.019856,-0.012863,0.035937,-0.007433,0.003533,0.001021,0.002615,0.001982,0.002486,0.008454,0.010206,0.022177,0.024294,-0.013632,-0.004865,-0.006865,-0.008012,-0.004157,-0.002773,-0.004604,-0.000722,-0.001560,-0.000806
0,0.000000,0.005924,0.003152,-0.004917,0.012846,-0.008044,0.006179,0.004257,-0.005897,0.000555,-0.001267,0.001875,-0.016707,0.005852,0.004104,0.002577,0.015274,-0.024366,0.013137,0.028575,0.000242,0.005126,0.000590,0.052662,0.074084,0.003718,-0.007125,-0.018019,-0.013276,-0.010844,-0.008572,-0.000498,0.001315,-0.010626,-0.000228,0.003759,-0.004341
0,0.000000,0.017979,-0.000302,0.003012,0.006100,-0.002123,0.003594,0.006464,0.000322,0.002979,0.001896,0.001229,-0.010138,-0.000693,0.005199,0.002998,0.004828,-0.034334,0.031835,0.013021,0.003077,0.002540,0.000461,0.063496,0.067204,0.004202,-0.014812,-0.024197,-0.007048,-0.012935,-0.009965,-0.001164,-0.004147,-0.003755,0.000157,-0.002220,-0.000759
0,0.000000,-0.000042,-0.007746,0.001362,0.012021,-0.008251,0.003135,0.031409,-0.015253,-0.002719,-0.009570,0.003355,-0.010681,-0.013141,0.021066,0.004296,0.008928,-0.023896,0.028500,0.012390,0.008868,0.019336,0.000026,0.109064,0.058654,0.000539,-0.007269,-0.035568,-0.018145,-0.025238,-0.012377,-0.005619,-0.006354,-0.002849,0.000672,-0.012874,-0.000284
0,0.000000,0.010377,-0.002832,-0.001016,0.008786,-0.011487,0.004198,0.011150,0.001083,-0.003642,0.000917,0.004755,-0.016528,-0.001093,0.014691,-0.000664,0.008714,-0.013523,0.023999,0.005471,0.003279,0.005647,0.004592,0.039275,0.039029,0.007420,0.000462,-0.002814,-0.005142,-0.007265,-0.008193,-0.001969,-0.003911,-0.001836,-0.000327,0.001918,0.000654
0,0.000000,0.002010,0.004738,-0.001323,0.018689,-0.008217,0.010694,0.025025,-0.012099,0.017766,0.001423,0.003787,-0.009685,-0.001648,0.007424,0.004540,0.013368,-0.026314,0.023519,0.007318,0.004212,0.008960,0.000301,0.042610,0.053486,0.003896,0.009781,-0.020884,-0.019169,-0.015951,-0.007821,-0.002155,0.001630,-0.022222,0.001536,-0.000462,-0.004456
0,0.000000,-0.001597,0.001491,-0.003039,0.008612,-0.002542,0.001924,0.017454,-0.012279,0.001029,-0.002638,0.003292,-0.006663,-0.009277,0.008412,-0.013138,0.019697,-0.019179,0.013580,0.018286,0.026833,0.000701,0.000373,0.082967,0.064345,0.004708,0.001842,-0.031776,-0.008277,-0.014414,-0.008587,0.000576,-0.003278,-0.006281,-0.002727,-0.002715,-0.003676
0,0.000000,0.003646,0.003553,-0.005576,0.015698,-0.000256,0.012052,0.027699,-0.025526,0.012700,-0.008085,0.003516,-0.010775,-0.006732,0.016428,0.013798,0.013614,-0.041685,0.031834,0.010546,0.005830,0.003737,0.000363,0.060379,0.051997,0.004056,0.003400,-0.017516,-0.019582,-0.006328,-0.001047,-0.000333,-0.001249,-0.019003,0.002905,-0.005461,-0.003479
