d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36,y
0,-0.008791,0.006140,-0.004281,0.005056,-0.001750,-0.003794,0.001948,0.000320,-0.009199,0.002034,-0.023875,-0.011515,-0.007206,-0.001450,-0.020089,-0.014336,0.001638,0.009947,-0.001517,0.003949,0.008957,-0.006544,-0.001422,-0.010722,0.001900,-0.004539,-0.004073,0.002704,-0.003891,0.016149,-0.022484,0.004833,0.003042,0.001045,0.000048,0.000057,-0.000439,0.013350
0,-0.004058,-0.012714,0.012607,-0.009055,-0.005822,0.017491,-0.043446,-0.018086,0.015161,-0.038311,0.005280,-0.025683,0.019735,-0.008836,-0.009611,0.014003,0.001026,-0.005572,0.000454,-0.006766,-0.001549,0.002046,0.001846,0.006060,0.003399,-0.002557,0.004077,-0.001643,0.002105,0.001687,-0.006059,0.000328,-0.000338,0.001323,-0.002923,-0.000262,0.003401,0.007400
0,0.000832,-0.000419,0.000634,-0.000651,-0.002009,0.000878,-0.002321,0.001318,-0.001711,0.003377,-0.001380,-0.001064,0.001627,-0.000094,-0.000107,0.000043,0.000052,0.000082,0.000157,-0.000162,0.000095,0.000078,-0.000085,-0.001637,-0.003880,-0.005331,0.002725,-0.019198,-0.012795,-0.023035,-0.009459,0.015706,0.014245,-0.030465,0.004636,0.017081,-0.038811,0.012550
2,-0.004289,0.005715,-0.008791,0.006140,-0.004281,0.005056,-0.001750,-0.003794,0.001948,0.000320,-0.009199,0.002034,-0.023875,-0.011515,-0.007206,-0.001450,-0.020089,-0.014336,0.001638,0.009947,-0.001517,0.003949,0.008957,-0.006544,-0.001422,-0.010722,0.001900,-0.004539,-0.004073,0.002704,-0.003891,0.016149,-0.022484,0.004833,0.003042,0.001045,0.000048,0.013350
2,0.000000,-0.001008,0.000328,-0.001659,0.001326,0.002170,-0.001845,-0.002649,-0.000063,-0.002517,-0.000362,-0.002151,0.004037,-0.003091,0.005170,-0.002423,-0.001096,0.001008,0.000204,0.000013,0.000018,0.000001,-0.000035,-0.001347,-0.011356,-0.010613,-0.006321,-0.005362,-0.006171,-0.010375,0.004974,-0.007384,-0.012740,-0.001143,-0.015821,-0.001576,0.000103,0.007400
0,0.000918,-0.004289,0.005715,-0.008791,0.006140,-0.004281,0.005056,-0.001750,-0.003794,0.001948,0.000320,-0.009199,0.002034,-0.023875,-0.011515,-0.007206,-0.001450,-0.020089,-0.014336,0.001638,0.009947,-0.001517,0.003949,0.008957,-0.006544,-0.001422,-0.010722,0.001900,-0.004539,-0.004073,0.002704,-0.003891,0.016149,-0.022484,0.004833,0.003042,0.001045,0.003550
1,0.001706,0.000918,-0.004289,0.005715,-0.008791,0.006140,-0.004281,0.005056,-0.001750,-0.003794,0.001948,0.000320,-0.009199,0.002034,-0.023875,-0.011515,-0.007206,-0.001450,-0.020089,-0.014336,0.001638,0.009947,-0.001517,0.003949,0.008957,-0.006544,-0.001422,-0.010722,0.001900,-0.004539,-0.004073,0.002704,-0.003891,0.016149,-0.022484,0.004833,0.003042,0.003550
2,-0.001659,0.001326,0.002170,-0.001845,-0.002649,-0.000063,-0.002517,-0.000362,-0.002151,0.004037,-0.003091,0.005170,-0.002423,-0.001096,0.001008,0.000204,0.000013,0.000018,0.000001,-0.000035,-0.001347,-0.011356,-0.010613,-0.006321,-0.005362,-0.006171,-0.010375,0.004974,-0.007384,-0.012740,-0.001143,-0.015821,-0.001576,0.000103,0.007828,-0.022599,0.015235,0.012550
2,-0.002517,-0.000362,-0.002151,0.004037,-0.003091,0.005170,-0.002423,-0.001096,0.001008,0.000204,0.000013,0.000018,0.000001,-0.000035,-0.001347,-0.011356,-0.010613,-0.006321,-0.005362,-0.006171,-0.010375,0.004974,-0.007384,-0.012740,-0.001143,-0.015821,-0.001576,0.000103,0.007828,-0.022599,0.015235,0.012744,-0.036052,0.011588,0.002940,0.007324,-0.001261,0.013350
0,-0.009055,-0.005822,0.017491,-0.043446,-0.018086,0.015161,-0.038311,0.005280,-0.025683,0.019735,-0.008836,-0.009611,0.014003,0.001026,-0.005572,0.000454,-0.006766,-0.001549,0.002046,0.001846,0.006060,0.003399,-0.002557,0.004077,-0.001643,0.002105,0.001687,-0.006059,0.000328,-0.000338,0.001323,-0.002923,-0.000262,0.003401,0.000882,0.005024,-0.006819,0.012550
0,-0.000141,-0.000485,-0.000102,-0.000266,-0.001690,-0.000664,0.000026,-0.004369,0.001697,-0.001915,0.001704,-0.003106,0.002427,-0.001633,-0.001165,0.001878,0.000095,-0.000074,-0.002989,-0.002795,-0.005655,-0.013672,-0.008899,-0.017883,-0.006039,-0.005891,0.006282,-0.007161,-0.005437,0.014300,-0.007492,-0.002409,-0.011452,0.004440,-0.005635,0.007400,-0.008948,0.007400
0,-0.000063,-0.002517,-0.000362,-0.002151,0.004037,-0.003091,0.005170,-0.002423,-0.001096,0.001008,0.000204,0.000013,0.000018,0.000001,-0.000035,-0.001347,-0.011356,-0.010613,-0.006321,-0.005362,-0.006171,-0.010375,0.004974,-0.007384,-0.012740,-0.001143,-0.015821,-0.001576,0.000103,0.007828,-0.022599,0.015235,0.012744,-0.036052,0.011588,0.002940,0.007324,0.003550
2,0.000000,-0.001176,-0.000141,-0.000485,-0.000102,-0.000266,-0.001690,-0.000664,0.000026,-0.004369,0.001697,-0.001915,0.001704,-0.003106,0.002427,-0.001633,-0.001165,0.001878,0.000095,-0.000074,-0.002989,-0.002795,-0.005655,-0.013672,-0.008899,-0.017883,-0.006039,-0.005891,0.006282,-0.007161,-0.005437,0.014300,-0.007492,-0.002409,-0.011452,0.004440,-0.005635,0.007400
2,-0.012714,0.012607,-0.009055,-0.005822,0.017491,-0.043446,-0.018086,0.015161,-0.038311,0.005280,-0.025683,0.019735,-0.008836,-0.009611,0.014003,0.001026,-0.005572,0.000454,-0.006766,-0.001549,0.002046,0.001846,0.006060,0.003399,-0.002557,0.004077,-0.001643,0.002105,0.001687,-0.006059,0.000328,-0.000338,0.001323,-0.002923,-0.000262,0.003401,0.000882,0.012550
1,0.005715,-0.008791,0.006140,-0.004281,0.005056,-0.001750,-0.003794,0.001948,0.000320,-0.009199,0.002034,-0.023875,-0.011515,-0.007206,-0.001450,-0.020089,-0.014336,0.001638,0.009947,-0.001517,0.003949,0.008957,-0.006544,-0.001422,-0.010722,0.001900,-0.004539,-0.004073,0.002704,-0.003891,0.016149,-0.022484,0.004833,0.003042,0.001045,0.000048,0.000057,0.013350
0,-0.002151,0.004037,-0.003091,0.005170,-0.002423,-0.001096,0.001008,0.000204,0.000013,0.000018,0.000001,-0.000035,-0.001347,-0.011356,-0.010613,-0.006321,-0.005362,-0.006171,-0.010375,0.004974,-0.007384,-0.012740,-0.001143,-0.015821,-0.001576,0.000103,0.007828,-0.022599,0.015235,0.012744,-0.036052,0.011588,0.002940,0.007324,-0.001261,0.001137,-0.000463,0.013350
1,-0.000362,-0.002151,0.004037,-0.003091,0.005170,-0.002423,-0.001096,0.001008,0.000204,0.000013,0.000018,0.000001,-0.000035,-0.001347,-0.011356,-0.010613,-0.006321,-0.005362,-0.006171,-0.010375,0.004974,-0.007384,-0.012740,-0.001143,-0.015821,-0.001576,0.000103,0.007828,-0.022599,0.015235,0.012744,-0.036052,0.011588,0.002940,0.007324,-0.001261,0.001137,0.013350
1,-0.000664,0.000026,-0.004369,0.001697,-0.001915,0.001704,-0.003106,0.002427,-0.001633,-0.001165,0.001878,0.000095,-0.000074,-0.002989,-0.002795,-0.005655,-0.013672,-0.008899,-0.017883,-0.006039,-0.005891,0.006282,-0.007161,-0.005437,0.014300,-0.007492,-0.002409,-0.011452,0.004440,-0.005635,0.007400,-0.008948,0.016269,0.001539,-0.027606,0.004335,0.006587,0.003550
2,0.000000,-0.021925,0.000800,-0.030931,0.026366,-0.009906,-0.004856,0.003133,-0.013574,-0.019028,0.007911,-0.024240,0.004515,-0.021295,0.017079,-0.006396,-0.008736,0.009957,0.001026,-0.000276,-0.000581,-0.001641,-0.005447,0.005536,0.001727,0.010803,0.001433,-0.002764,0.001414,-0.012196,0.002257,0.008604,0.003663,0.002702,0.000307,-0.000353,-0.007438,0.007400
1,-0.001008,0.000328,-0.001659,0.001326,0.002170,-0.001845,-0.002649,-0.000063,-0.002517,-0.000362,-0.002151,0.004037,-0.003091,0.005170,-0.002423,-0.001096,0.001008,0.000204,0.000013,0.000018,0.000001,-0.000035,-0.001347,-0.011356,-0.010613,-0.006321,-0.005362,-0.006171,-0.010375,0.004974,-0.007384,-0.012740,-0.001143,-0.015821,-0.001576,0.000103,0.007828,0.007400
